name,d1,d2,b
6x16x7,6,16,7
8x22x7,8,22,7
10x22x7,10,22,7
10x26x7,10,26,7
12x22x7,12,22,7
12x24x7,12,24,7
12x28x7,12,28,7
12x30x7,12,30,7
14x24x7,14,24,7
14x28x7,14,28,7
15x24x7,15,24,7
15x26x7,15,26,7
15x30x7,15,30,7
15x35x7,15,35,7
16x28x7,16,28,7
16x30x7,16,30,7
17x28x7,17,28,7
17x30x7,17,30,7
17x35x7,17,35,7
18x30x7,18,30,7
20x30x7,20,30,7
20x32x7,20,32,7
20x35x7,20,35,7
20x40x7,20,40,7
20x47x7,20,47,7
22x32x7,22,32,7
22x35x7,22,35,7
22x40x7,22,40,7
25x35x7,25,35,7
25x40x7,25,40,7
25x42x7,25,42,7
25x47x7,25,47,7
25x52x7,25,52,7
28x40x7,28,40,7
28x47x7,28,47,7
30x40x7,30,40,7
30x42x7,30,42,7
30x47x7,30,47,7
30x50x7,30,50,7
30x52x7,30,52,7
32x45x8,32,45,8
32x47x8,32,47,8
32x52x8,32,52,8
35x47x7,35,47,7
35x50x8,35,50,8
35x52x8,35,52,8
35x55x8,35,55,8
35x62x8,35,62,8
40x52x7,40,52,7
40x55x8,40,55,8
40x60x8,40,60,8
40x62x8,40,62,8
45x60x8,45,60,8
45x62x8,45,62,8
45x65x8,45,65,8
50x65x8,50,65,8
50x68x8,50,68,8
50x70x8,50,70,8
50x72x8,50,72,8
55x70x8,55,70,8
55x72x8,55,72,8
60x80x8,60,80,8
65x85x10,65,85,10
70x90x10,70,90,10
75x95x10,75,95,10
80x100x10,80,100,10
