name,d1,A,C
VA-03,3,2.5,3
VA-04,4,2.5,3
VA-05,5,2.5,3
VA-06,6,2.5,3
VA-07,7,2.5,3
VA-08,8,3.0,4
VA-10,10,3.0,4
VA-12,12,3.0,4
VA-14,14,3.5,5
VA-16,16,3.5,5
VA-18,18,3.5,5
VA-20,20,4.0,6
VA-22,22,4.0,6
VA-25,25,4.0,6
VA-28,28,4.0,6
VA-30,30,4.5,7
VA-32,32,4.5,7
VA-35,35,4.5,7
VA-38,38,4.5,7
VA-40,40,5.5,9
VA-45,45,5.5,9
VA-50,50,5.5,9
VA-55,55,5.5,9
VA-60,60,5.5,9
VA-65,65,5.5,9
VA-70,70,6.5,11
VA-75,75,6.5,11
VA-80,80,6.5,11
VA-85,85,6.5,11
VA-90,90,6.5,11
VA-95,95,6.5,11
VA-100,100,6.5,11
VA-110,110,7.5,13
VA-120,120,7.5,13
VA-130,130,7.5,13
VA-140,140,7.5,13
VA-150,150,7.5,13
VA-160,160,8.5,15
VA-170,170,8.5,15
VA-180,180,8.5,15
VA-190,190,8.5,15
VA-199,199,8.5,15
